idtbl_pregunta,titulo,respuesta,id_usuario_creador,fecha_creacion,id_usuario_ultima_modificacion,fecha_ultima_modificacion,id_producto,id_estado,fecha_ult_actualizacion_keywords,keywords_rag,Vigencia,estado_carga,dias_vigencia,justificacion_garante,justificacion_curador,publicado_workplace,fecha_publicacion
5727,Consultar compras reversadas de una tarjeta de crédito en AS-400,A continuación podrás conocer el proceso para identificar las reversiones en las Tarjetas de crédito o en la tarjeta E-card:,97,2020-01-24 00:00:00,97.0,2024-08-28 00:00:00,193,3,2025-08-05 00:00:00,"tarjeta_credito, reversar_compra, as_400",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
6659,¿Cómo consultar el estado y los movimientos de una tarjeta de crédito?,"☝ Ahorael cliente puede visualizar en línea a través del APP y página web el saldo disponible y los movimientos de sus tarjetas de crédito como: compras o avances sin importar si estas fueron realizadas de manera presencial o virtual en comercios nacionales o internacionales, por lo que ya no es necesario esperar al día siguiente para ver lo consumido en su tarjeta y el saldo disponible para futuras compras.⚠️ Las compras internacionales si se realizan con tarjetas de crédito con facturación mixta se mostrarán en primera instancia en la cartera pesos, solo hasta que la compra se compense y se incorpore en Fact se podrá visualizar en la cartera dólares.",97,2020-01-24 00:00:00,97.0,2024-08-28 00:00:00,193,3,2025-08-05 00:00:00,"tarjeta_credito, consultar_estado, movimientos",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
5436,"Consultar, gestionar y reasignar registros de campañas activas en Cliente 360","Consultar Campañas en Cliente 360:Para consultar si un cliente tiene campañas activas en Cliente 360, debes realizar el siguiente proceso:Ingresa a Cliente 360 con el ID del cliente:Ingresa sobre el número de identificación del clienteIngresa a la pestaña VISTA 360° y consulta las campañas vigentes:Consulta el paso a paso con pantallas de Cliente 360 aquí☝Gestión Campañas en Cliente 360:Realizar la llamada al cliente Registrar en Cliente 360 el estado de la llamada y el resultado de la misma. Si después de varios intentos definitivamente no se logra establecer el contacto, enviar por medio de correo la oferta.La campaña tiene un mes de vigencia pero el objetivo es que sea lo más efectiva posibleSe deja grabación de como realizar la gestión 360 Gestión CampañasReasignar un registro de campaña en Cliente 360:Para reasignar el registro puedes validar la siguiente información:Ingresa al aplicativo Cliente 360 con su usuario y clave de Red.Haz clic en la parte superior en la opción CampañasIngresa en el menú desplegable y selecciona la opción “Todos los miembros de campaña - de dependencia”.Ingresa el número de identificación del cliente en la casilla “Número de identificación contacto” y presiona enter.Reemplaza el número de puesto de trabajo que está establecido en la casilla “Propietario del puesto de trabajo” con el número del puesto de trabajo del funcionario a quién le quedará asignado el cliente y enter.Consulta el paso a paso con pantallas de Cliente 360 aquí☝ https://drive.google.com/file/d/1aWg-ddUMJ8UdyIvQzmiNbkSK8j9hW5aG/view https://drive.google.com/file/d/1aWg-ddUMJ8UdyIvQzmiNbkSK8j9hW5aG/view https://docs.google.com/presentation/d/16z3EOB6fCWvgjr_SkEsACfoKr7JESM3C07-VuK5-GDQ/present?slide=id.g6f41e29921_0_0",88,2020-01-24 00:00:00,88.0,2024-08-29 00:00:00,163,3,2025-08-05 00:00:00,"cliente_360, campana_activa, gestionar",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
871,Consultar la cartera en dólares de una tarjeta de crédito en AS400,"Para consultar la facturación en dólares de una tarjeta de crédito a través de AS400 es necesario seguir el siguiente proceso:Ingresar a AS 400.Ubica el módulo de tarjetas.Ingresar con la opción 942.Digitar el número de identificación.Seleccionar la tarjeta de crédito a consultar.Digita F6, en esta opción aparece la información de facturación de la tarjeta de crédito.Digitar F17 (Shift + F5), en esta opción aparece la información de facturación de la tarjeta de crédito.También puedes validar el paso a paso haciendo clic aquí https://docs.google.com/presentation/d/1RlYgKuvY8jULFOX5gvPslLCz769aI9PYqFr_lKBADZU/preview?&amp;&amp;iconodrive=https://drive-thirdparty.googleusercontent.com/16/type/application/vnd.google-apps.presentation https://drive.google.com/file/d/1aBvBlUZ4IguEej6iogIZUDw1t6sbAyw9/view",96,2020-01-24 00:00:00,96.0,2024-08-29 00:00:00,193,3,2025-02-07 00:00:00,"tarjeta_credito, consulta_cartera, as400",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
4673,Mensajes de alerta en la Súper App en la solicitud de productos móviles,"Cuando aparezcan mensajes de alerta en la Súper App durante la solicitud de productos móviles, es crucial realizar las siguientes validaciones operativas antes de reportarlos como un error, para aumentar las probabilidades de éxito en la solicitud:Actualización de Datos: Asegúrate de que la información del cliente esté completa y actualizada en Cliente 360, con menos de un año de antigüedad.Verificación de Restricciones: Confirma que el cliente no esté en listas restrictivas y no tenga productos en mora.Condiciones Técnicas: Comprueba que la conexión a internet sea estable y que el equipo del cliente sea compatible con la aplicación.Revisión de Trazabilidad: Una vez hecha la solicitud, revisa su trazabilidad para obtener detalles adicionales mediante la opción 732 de AS400.Escalamiento: Si después de estas validaciones no se detecta ninguna inconsistencia, procede a escalar el caso con los expertos.Aplicativos:Cliente 360: Utiliza esta herramienta para consultar la información integral del cliente, incluyendo la última fecha de actualización, listas restrictivas, y datos de contacto e información financiera.AS400: Accede a la trazabilidad de los productos móviles siguiendo esta ruta: FM 2000 - CARTERA / CRÉDITO Y CARTERA / FUNCIONES DE CARTERA / 732 - Consulta Créditos a un clic aquí☝Consulta con información detallada si aparecen algunos errores:Errores en la solicitud de un Crédito móvilErrores al solicitar tarjeta de crédito MóvilMensajes de error Compra de Cartera MóvilErrores y mensajes de la Compra de Cartera Libranza Móvil. https://docs.google.com/presentation/d/1uHyuHGFrSOaQTBQ4_KAOeMyIchNUrTxfj87vErwXBrw/present?slide=id.g21beabb4274_0_0 https://comunidadesdesoporte.davivienda.com/#/respuestas/1501 https://comunidadesdesoporte.davivienda.com/#/respuestas/2998 https://comunidadesdesoporte.davivienda.com/#/respuestas/9168 https://comunidadesdesoporte.davivienda.com/#/respuestas/9975 https://docs.google.com/presentation/d/1uHyuHGFrSOaQTBQ4_KAOeMyIchNUrTxfj87vErwXBrw/preview?&amp;&amp;iconodrive=https://drive-thirdparty.googleusercontent.com/16/type/application/vnd.google-apps.presentation",97,2020-01-24 00:00:00,97.0,2024-08-30 00:00:00,119,3,2025-02-07 00:00:00,"davivienda_app, mensajes_alerta, producto_movil",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
2157,Archivos y base de datos para consultas de libranza,"Acá vas a poder revisar las herramientas y bases de consultas para los temas de libranzaTasas CX fijo LibranzaPara validar los convenios de libranza y sus códigos de estrategia puedes ingresar al archivo: Agrupación Tasa PermanenteConvenios deLibranza.Consultar a que oficina pertenece el convenioPara validar los convenios que tiene plazo hasta 120 meses puedes consultar el archivo Base Convenios con plazo máximo hasta 120 meses.xlsxPuedes consultar el Simulador de Fijo Libranza.Al igual encontrarás la base de convenios marcados temporalmente, que son aquellos convenios que tienen una tasa preferencial por un tiempo determinado. Puedes revisar el archivo Convenios Marcados Temporalmente por atribución de tasa especial. https://storage.cloud.google.com/adjuntos-preguntas-prod/1725488674068Banner Rojo Small copiar - 16 de febrero de 2023, 16.12.43 (1).pngarchivo.png https://drive.google.com/drive/folders/13aVUAxPQhCN9YE_hnxO4ii-UKFwbp0BA https://drive.google.com/drive/folders/1p1iR6_INpLT7z43wJizjXuOOPHDu9KaT https://docs.google.com/presentation/d/1o-fmr5wsFf0--Zc7oNeSggtge--pbeEdbA8P7P_5G94/edit#slide=id.g939cf16639_2_1 https://drive.google.com/drive/folders/1r-YiWc0eAA2FvuVBXMQQS5o7F4V5iDqD https://script.google.com/a/macros/davivienda.com/s/AKfycbygYlht9ovz9E5oPIBq6Wlyp27drgbpF7329NNPH8Ge-KWHW1VMqeLSYCHB39ybs3E_/exec https://drive.google.com/drive/folders/1zV6UIL5tVoE2RKz5EswNybRjP61zpYlV",88,2020-01-24 00:00:00,88.0,2024-09-06 00:00:00,454,3,2025-02-07 00:00:00,"libranza, base_datos, consultas",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
609,Ayuda para nuestros clientes del segmento carga,"Nuestros clientes del segmento carga necesitan ayuda teniendo en cuenta la situación de alza no solo ahora en ACP, sino en todo el contexto de su economía y actividad. Por esta razón si un clientede carga en mora se acerca a tu oficina manifestando inconvenientes de pago debido a la situación actual ingresa sus datosal siguiente link y nos pondremos en contacto con élpara buscar la mejor alternativa de normalización. https://docs.google.com/forms/d/e/1FAIpQLSfrQhF_w2Hh64LALcVy1quvZnLSV13CBOoyyppV0LbRaYdcjQ/viewform",88,2020-01-24 00:00:00,88.0,2024-09-06 00:00:00,205,3,2025-02-07 00:00:00,"vehiculo_productivo, segmento_carga, ayuda_cliente",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
611,Procedimiento para cambiar el indicador de existencia Cliente en C360  (Vivo - fallecido) ,"En el momento en que un familiar de un cliente fallecido se acerque a la oficina para iniciar el procedimiento de entrega de recursos, es necesario modificar en Cliente 360 el indicador de existencia, de manera que el titular pase de Vivo a Fallecido, para lo cual,la oficina debe realizar los siguientes pasos:Realice la solicitud de la novedad por el siguiente Link Cambio de Indicador de existencia, para el diligenciamiento del formato es importante tener en cuenta los siguientes:Seleccione el Departamento u Oficina que gestiona la solicitudIngrese los datos del cliente a quien se le va a aplicar la novedad.En el tipo de novedad a aplicar en cliente 360, seleccione“Novedad campoindicador de existencia”Realice la descripción de la NovedadEn “adjunte soporte de la novedad”se debe enviar el certificado de defunción del titular del producto.Una vez ingresada la solicitud recibirá la notificación automática en el correo confirmando la aplicación de la novedad en un plazo no mayor a 24 horas. Para aplicar la novedad,la oficina debe adjuntar el certificado de defunción, sin embargo, el área encargada realizará validación en la página de la registraduría nacional de Colombia o en una fuente externa, para verificar la información.Si en la consulta el estado de vigencia del cliente es igual al del certificado dedefunción(en la consulta está fallecido), se aplicará la novedad en cliente 360 y la oficina puede continuar con la solicitud del cliente.Si en la consulta el estado de vigencia del cliente es diferente al del certificado de defunción(en la consulta sigue vivo),se aplicará la novedad en cliente 360, pero la oficina, debe direccionar al cliente para que formalice ante la registraduría el certificado de defunción, antes de continuar con la solicitud del cliente.Te dejamos acá el flujo de la solicitud https://docs.google.com/forms/d/e/1FAIpQLSfQ4k5HEY-oZBpmRP62xJ19MIR5p57x50vHhglipJe0SeTVRQ/viewform https://docs.google.com/presentation/d/1hzlFEHRuu8ihky5fU1l_Uz63kw8Y6VsOxBf3X7aPGwo/edit#slide=id.g21c1489437a_0_455",96,2020-01-24 00:00:00,96.0,2024-09-06 00:00:00,199,3,2025-02-07 00:00:00,"cliente_360, cambiar_indicador, estado_cliente",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
5161,"Tarjetas de crédito Retail o Grupo Uribe (características, activación, voucher)","Es una tarjeta de crédito que se adquiere en tiendas de las siguientes marcas socias Mundo SU+: Chevignon, Naf Naf, Americanino, Rifle, Mango, OutletCard, Esprit y American Eagle.✔ Tienen una modalidad de cobro flexible en cuota de manejo mensual. Consulta tasas y tarifas.✔ Si el cliente requiere cancelarla, el área de conservación de clientes le puede ofrecer alguna prebenda dependiendo el perfil del cliente.✔ Se acumulan puntos por cada compra realizada en las marcas Socias. Los puntos se sumarán en la cuenta (No. Cédula) del cliente y una vez se acumulen 10.000 Puntos SU+ podrán ser redimidos por cualquier producto en las marcas asociadas. Es necesario presentar la cédula al momento de pago para ser escaneada por el cajero. La cantidad de PUNTOS SU+ acumulados varían dependiendo del medio de pago que se utilice.✔ Voucher primera compra: Cuando un cliente solicita su tarjeta de crédito en las marcas aliadas por primera vez, le es asignado un voucher para realizar la primera compra con ofertas especiales para ser utilizado el mismo día, en la tienda donde se le otorgó la Tarjeta con la cédula original. Es importante mencionar que este voucher se activa el mismo día cuando el cliente realice compras. Si no lo utiliza el mismo día el voucher se cancela.Para consultar los establecimientos de las tarjetas Retail ingresa a www.mundosumas.comopción encuéntranos.☝ Los clientes del Grupo Uribe ya pueden tener clave virtual.☝ Puedes ver más información en el Site de Conecta. https://www.davivienda.com/wps/portal/personas/nuevo/personas/tasasytarifas/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTdw9fQxdzQIcXY3NjAwcPUzMjCwswgwNzA30w8EKjC0CTfy8nIx8g90sjQ0cfQ2CnR0t_Q393Y30o4jRb4ADOBoQpx-Pgij8xofrR4GV4PMBPgUGbuZQBXgsKcgNDY0wyPQEAKDJNcw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/ https://www.mundosumas.com/ https://sites.google.com/davivienda.com/conecta/personas/medios-de-pago/marca-compartida",97,2020-01-24 00:00:00,97.0,2024-09-10 00:00:00,186,3,2025-08-05 00:00:00,"tarjeta_credito, activacion, caracteristicas",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
3754,Consultar y descargar Certificaciones Tributarias,"Estas certificaciones incluyen todos los productos activos o cancelados durante el año 2023. Consulta más detalle en la sección de Proceso de unificación de certificaciones tributarias.Las certificaciones tributarias se generan para los productos: cuentas de ahorros y/o corrientes, certificados a depósitos, títulos (CDTs primer y segundo titular o Bonos) desmaterializados en Deceval, accionistas, cuentas AFC, retención en la fuente de renta por operaciones con tarjetas débito y/o créditos, tarjeta de crédito, créditos del Banco (hipotecario, leasing habitacional, corporativo, constructor, unidad de leasing, etc), créditos en moneda extranjera, operaciones Forwards y entre otros.Invita al cliente a realizar la descarga de la certificación por medio de los canales virtuales así:App Davivienda:Ingresa a la App Davivienda y selecciona el producto que quieres consultar.Da clic en «servicios» y luego en «descargar certificación»Selecciona el tipo de certificación que deseas descargar «Certificación tributaria».Ingresa la información solicitada y luego se habilitarán las opciones propias del sistema operativo para la descarga del documento.La App permite personalizar la opción de a quién va dirigido, la ciudad de emisión y el idioma (inglés o español).Consulta más información aquí☝Davivienda.comIngresaa la página web www.davivienda.com con número de documento y la Clave VirtualSelecciona la opción de Más Servicios y clic en «Certificaciones y Paz y Salvos».Escoge la opción «Certificaciones» y «Certificaciones Tributarias».Consulta el video instructivo aquí☝⚠️ Si el cliente presenta novedades para descargar sus certificados puedes solicitarlos por diferentes aplicativos así: https://storage.cloud.google.com/adjuntos-preguntas-prod/1712760918899Banner2 Rojo-1 (21).pngarchivo.png https://www.appdavivienda.com/servicios/consultas/certificaciones/ https://drive.google.com/file/d/1a19qOLb5Ds2FOtoIGTZuGoMfM7_IJ0Sy/view?usp=sharing",92,2020-01-24 00:00:00,92.0,2024-09-17 00:00:00,182,3,2025-08-05 00:00:00,"certificacion_tributaria, consultar, descargar",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
7487,Certificaciones especiales de cartera,"Las certificaciones especiales de cartera son documentos certificados por el banco que algunos clientes solicitan con características especiales que no están disponibles en los canales virtuales por su detalle, a continuación podrás validar como solicitar las certificaciones:",94,2020-01-24 00:00:00,94.0,2024-09-18 00:00:00,144,3,2025-04-23 00:00:00,"certificaciones, cartera, certificaciones_especiales",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
2547,Cuenta corriente empresarial,"La cuenta corriente empresarial está diseñada para el manejo de flujo de recursos, operaciones de recaudo, pagos y demás servicios a nivel nacional, con disponibilidad inmediata y tasas de acuerdo a las necesidades de la empresa.Esta cuenta puede recibir giros internacionales.Documentos necesarios para abrir la cuenta:Certificado de constitución de la Cámara de Comercio o los documentos que acrediten la existencia de la persona jurídica y su representación con vigencia no mayor a 30 días.Rut.Fotocopia del Documento de Identidad del representante legal y socios.Se deben diligenciar los formatos de vinculación del Banco.Realizar el depósito inicial requerido para abrir la Cuenta Corriente.La apertura de Cuenta la debe realizar el representante legal.",96,2020-01-24 00:00:00,96.0,2024-09-18 00:00:00,220,3,2025-08-05 00:00:00,"cuenta_corriente, empresarial, producto_bancario",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
